************* Module dev.app
dev/app.py:31:0: W0311: Bad indentation. Found 4 tabs, expected 1 (bad-indentation)
dev/app.py:45:0: W0311: Bad indentation. Found 4 tabs, expected 1 (bad-indentation)
dev/app.py:53:0: W0311: Bad indentation. Found 4 tabs, expected 1 (bad-indentation)
dev/app.py:56:0: W0311: Bad indentation. Found 4 tabs, expected 1 (bad-indentation)
dev/app.py:57:0: W0311: Bad indentation. Found 4 tabs, expected 1 (bad-indentation)
dev/app.py:60:0: W0311: Bad indentation. Found 4 tabs, expected 1 (bad-indentation)
dev/app.py:61:0: W0311: Bad indentation. Found 8 tabs, expected 2 (bad-indentation)
dev/app.py:62:0: W0311: Bad indentation. Found 4 tabs, expected 1 (bad-indentation)
dev/app.py:63:0: W0311: Bad indentation. Found 8 tabs, expected 2 (bad-indentation)
dev/app.py:64:0: W0311: Bad indentation. Found 8 tabs, expected 2 (bad-indentation)
dev/app.py:66:0: W0311: Bad indentation. Found 4 tabs, expected 1 (bad-indentation)
dev/app.py:70:0: W0311: Bad indentation. Found 4 tabs, expected 1 (bad-indentation)
dev/app.py:80:0: W0311: Bad indentation. Found 4 tabs, expected 1 (bad-indentation)
dev/app.py:82:0: W0311: Bad indentation. Found 4 tabs, expected 1 (bad-indentation)
dev/app.py:84:0: W0311: Bad indentation. Found 4 tabs, expected 1 (bad-indentation)
dev/app.py:92:0: W0311: Bad indentation. Found 4 tabs, expected 1 (bad-indentation)
dev/app.py:93:0: W0311: Bad indentation. Found 4 tabs, expected 1 (bad-indentation)
dev/app.py:95:0: W0311: Bad indentation. Found 4 tabs, expected 1 (bad-indentation)
dev/app.py:96:0: W0311: Bad indentation. Found 8 tabs, expected 2 (bad-indentation)
dev/app.py:97:0: W0311: Bad indentation. Found 8 tabs, expected 2 (bad-indentation)
dev/app.py:98:0: W0311: Bad indentation. Found 8 tabs, expected 2 (bad-indentation)
dev/app.py:99:0: W0311: Bad indentation. Found 4 tabs, expected 1 (bad-indentation)
dev/app.py:100:0: W0311: Bad indentation. Found 8 tabs, expected 2 (bad-indentation)
dev/app.py:101:0: W0311: Bad indentation. Found 8 tabs, expected 2 (bad-indentation)
dev/app.py:106:0: W0311: Bad indentation. Found 4 tabs, expected 1 (bad-indentation)
dev/app.py:107:0: W0311: Bad indentation. Found 4 tabs, expected 1 (bad-indentation)
dev/app.py:113:0: W0311: Bad indentation. Found 4 tabs, expected 1 (bad-indentation)
